flyby_tdb,rp_km,theta_deg,delta_deg,vinf_out_mag_kms
2035-12-07T00:00:00.000,3896.2,29.999999999999996,58.74975198223993,3.378927712068704
2035-12-07T00:00:00.000,4951.7555555555555,-29.999999999999996,51.06563163295753,3.3789277120687045
2035-12-07T00:00:00.000,4951.7555555555555,-14.999999999999998,51.06563163295753,3.3789277120687045
2035-12-07T00:00:00.000,4951.7555555555555,0.0,51.06563163295753,3.3789277120687045
2035-12-07T00:00:00.000,4951.7555555555555,15.000000000000002,51.06563163295753,3.3789277120687045
2035-12-07T00:00:00.000,4951.7555555555555,29.999999999999996,51.06563163295753,3.3789277120687045
2035-12-07T00:00:00.000,6007.311111111111,-29.999999999999996,45.21359191359933,3.378927712068705
2035-12-07T00:00:00.000,6007.311111111111,-14.999999999999998,45.21359191359933,3.378927712068705
2035-12-07T00:00:00.000,6007.311111111111,0.0,45.21359191359933,3.3789277120687045
2035-12-07T00:00:00.000,6007.311111111111,15.000000000000002,45.21359191359933,3.378927712068705
2035-12-07T00:00:00.000,6007.311111111111,29.999999999999996,45.21359191359933,3.3789277120687045
2035-12-07T00:00:00.000,7062.866666666667,-29.999999999999996,40.59361224101988,3.378927712068705
2035-12-07T00:00:00.000,7062.866666666667,-14.999999999999998,40.59361224101988,3.378927712068705
2035-12-07T00:00:00.000,7062.866666666667,0.0,40.59361224101988,3.378927712068705
2035-12-07T00:00:00.000,7062.866666666667,15.000000000000002,40.59361224101988,3.3789277120687045
2035-12-07T00:00:00.000,7062.866666666667,29.999999999999996,40.59361224101988,3.378927712068705
2035-12-07T00:00:00.000,8118.422222222222,-29.999999999999996,36.84666269172518,3.378927712068705
2035-12-07T00:00:00.000,8118.422222222222,-14.999999999999998,36.84666269172518,3.3789277120687053
2035-12-07T00:00:00.000,8118.422222222222,0.0,36.84666269172518,3.378927712068705
2035-12-07T00:00:00.000,8118.422222222222,15.000000000000002,36.84666269172518,3.3789277120687045
2035-12-07T00:00:00.000,8118.422222222222,29.999999999999996,36.84666269172518,3.3789277120687045
2035-12-07T00:00:00.000,9173.977777777778,-29.999999999999996,33.74296399066116,3.3789277120687045
2035-12-07T00:00:00.000,9173.977777777778,-14.999999999999998,33.74296399066116,3.378927712068705
2035-12-07T00:00:00.000,9173.977777777778,0.0,33.74296399066116,3.3789277120687045
2035-12-07T00:00:00.000,9173.977777777778,15.000000000000002,33.74296399066116,3.378927712068705
2035-12-07T00:00:00.000,9173.977777777778,29.999999999999996,33.74296399066116,3.3789277120687045
2035-12-07T00:00:00.000,10229.533333333333,-29.999999999999996,31.127893467075484,3.3789277120687045
2035-12-07T00:00:00.000,10229.533333333333,-14.999999999999998,31.127893467075484,3.378927712068705
2035-12-07T00:00:00.000,10229.533333333333,0.0,31.127893467075484,3.3789277120687045
2035-12-07T00:00:00.000,10229.533333333333,15.000000000000002,31.127893467075484,3.3789277120687045
2035-12-07T00:00:00.000,10229.533333333333,29.999999999999996,31.127893467075484,3.378927712068704
2035-12-07T00:00:00.000,11285.08888888889,-29.999999999999996,28.893246771476065,3.378927712068705
2035-12-07T00:00:00.000,11285.08888888889,-14.999999999999998,28.893246771476065,3.378927712068705
2035-12-07T00:00:00.000,11285.08888888889,0.0,28.893246771476065,3.378927712068705
2035-12-07T00:00:00.000,11285.08888888889,15.000000000000002,28.893246771476065,3.3789277120687045
2035-12-07T00:00:00.000,11285.08888888889,29.999999999999996,28.893246771476065,3.378927712068705
2035-12-07T00:00:00.000,12340.644444444446,-29.999999999999996,26.960871475051846,3.378927712068705
2035-12-07T00:00:00.000,12340.644444444446,-14.999999999999998,26.960871475051846,3.378927712068705
2035-12-07T00:00:00.000,12340.644444444446,0.0,26.960871475051846,3.3789277120687045
2035-12-07T00:00:00.000,12340.644444444446,15.000000000000002,26.960871475051846,3.3789277120687045
2035-12-07T00:00:00.000,12340.644444444446,29.999999999999996,26.960871475051846,3.3789277120687045
2035-12-07T00:00:00.000,13396.2,-29.999999999999996,25.27282560950742,3.378927712068705
